MSA,ViolentCrime,Murder,Rape,Robbery,AggravatedAssault,PropertyCrime,Burglary,Theft,MotorVehicleTheft,State,City
"St. Joseph, MO-KS M.S.A.",384.3,9.4,58.8,69.8,246.3,"4,035.80",800.7,"2,832.70",402.3,MO,St Joseph
"St. Louis, MO-IL M.S.A.2",486,10.5,38.5,121.2,315.8,"2,532.70",475,"1,833.10",224.6,MO,St. Louis
"Stockton-Lodi, CA M.S.A.",797.1,8.9,27.4,213.2,547.5,"3,466.10",727.1,"2,180.00",559,CA,Stockton
"Sumter, SC M.S.A.",621.6,6.5,31.4,88.7,495.1,"3,469.10","1,151.70","2,089.20",228.1,SC,Sumter
"Syracuse, NY M.S.A.",284.2,4.1,48,73.1,159,"2,059.10",383.4,"1,597.70",77.9,NY,Syracuse
"Tallahassee, FL M.S.A.",767.1,6.6,80.9,122.3,557.2,"3,756.30",832.7,"2,602.30",321.3,FL,Tallahassee
"Tampa-St. Petersburg-Clearwater, FL M.S.A.",384.1,4,32.7,87.5,259.9,"2,627.60",472.3,"1,964.20",191,FL,Tampa
"Texarkana, TX-AR M.S.A.",468.5,5.4,50.9,72.3,340,"3,466.00",744.2,"2,490.30",231.6,TX,Texarkana
"The Villages, FL M.S.A.",232.1,0.8,14.9,16.6,199.8,940.9,257.8,632.5,50.6,FL,The Villages
"Toledo, OH M.S.A.2",583.6,4.4,51.7,163.6,363.9,"2,999.60",868.5,"1,946.80",184.3,OH,Toledo
"Topeka, KS M.S.A.",391.7,6,48.4,100.7,236.6,"3,631.60",780.5,"2,572.00",279,KS,Topeka
"Trenton, NJ M.S.A.2",374.1,5.4,25,144.7,199,"1,785.00",405.3,"1,188.50",191.2,NJ,Trenton
"Tucson, AZ M.S.A.",421.4,4.5,52.5,123.7,240.8,"4,748.50",555.5,"3,936.40",256.6,AZ,Tucson
"Tulsa, OK M.S.A.2",500.8,8.1,59.5,98.6,334.6,"3,160.60",824.5,"1,963.00",373.2,OK,Tulsa
"Tuscaloosa, AL M.S.A.",392.9,4.2,35.9,107.8,244.9,"2,931.80",737.7,"2,040.40",153.8,AL,Tuscaloosa
"Tyler, TX M.S.A.",295.7,5.4,28,47.9,214.5,"2,945.30",613.2,"2,120.80",211.3,TX,Tyler
"Urban Honolulu, HI M.S.A.",243.9,1.5,31.8,89.7,120.9,"3,110.70",428.7,"2,294.60",387.4,HI,Honolulu
"Utica-Rome, NY M.S.A.",233.6,2.7,56.2,38.9,135.8,"1,983.30",355.5,"1,558.40",69.4,NY,Utica
"Vallejo-Fairfield, CA M.S.A.",474.1,7.1,44.1,154.2,268.7,"2,990.50",820.7,"1,664.60",505.2,CA,Vallejo
"Victoria, TX M.S.A.",451.9,3,78,53,317.9,"2,824.30",617.9,"2,065.50",141,TX,Victoria
