HighCostLowGraduation,LowCostLowGraduation,LowCostHighGraduation,HighCostHighGraduation
191287.0,148007.0,175342.0,162928.0
191311.0,148256.0,175421.0,163107.0
191533.0,148292.0,175528.0,163268.0
191630.0,148380.0,175591.0,163286.0
191649.0,148654.0,175616.0,163408.0
191676.0,148672.0,175856.0,163754.0
191834.0,148821.0,176390.0,163815.0
191931.0,148876.0,176628.0,163851.0
191959.0,148937.0,176637.0,163912.0
191968.0,148991.0,176789.0,164076.0
192110.0,149329.0,176910.0,164100.0
192271.0,149365.0,176947.0,164270.0
192688.0,149532.0,177065.0,164438.0
192703.0,149727.0,177144.0,164465.0
192712.0,149842.0,177339.0,164535.0
192749.0,150048.0,177418.0,164845.0
192819.0,150075.0,177968.0,164924.0
193122.0,150172.0,178208.0,165015.0
193292.0,150853.0,178226.0,165024.0
193584.0,150987.0,178244.0,165255.0
193654.0,151111.0,178369.0,165635.0
193760.0,151306.0,178402.0,165750.0
193900.0,151324.0,178767.0,165820.0
194116.0,151333.0,179070.0,165866.0
194541.0,151342.0,179326.0,166027.0
194578.0,151360.0,179919.0,166063.0
194824.0,151379.0,180258.0,166124.0
195003.0,151388.0,180461.0,166294.0
195164.0,151564.0,180522.0,166319.0
195234.0,151829.0,180595.0,166328.0
195304.0,151874.0,180814.0,166498.0
195474.0,152150.0,180832.0,166513.0
195687.0,152248.0,181242.0,166586.0
195784.0,152266.0,181330.0,166595.0
195809.0,152637.0,181376.0,166629.0
195933.0,153214.0,181400.0,166674.0
196389.0,153241.0,181604.0,166683.0
196413.0,153296.0,181738.0,166692.0
197151.0,153311.0,181756.0,166939.0
197197.0,153445.0,181853.0,167288.0
197708.0,153472.0,182111.0,167835.0
198190.0,153524.0,182209.0,167871.0
198242.0,153533.0,182397.0,168032.0
198516.0,153630.0,182634.0,168148.0
198561.0,153737.0,182795.0,168218.0
198613.0,153922.0,182865.0,168263.0
198695.0,154059.0,182908.0,168342.0
198950.0,154110.0,182980.0,168430.0
199847.0,154378.0,183071.0,168555.0
200624.0,154396.0,183080.0,168591.0
200633.0,154572.0,183099.0,168786.0
201104.0,154642.0,183105.0,168892.0
201177.0,154697.0,183114.0,169071.0
201371.0,154800.0,183123.0,169187.0
201496.0,154907.0,183150.0,169248.0
201548.0,154925.0,183275.0,169284.0
201645.0,154952.0,183655.0,169503.0
201654.0,154998.0,183789.0,169655.0
201821.0,155007.0,183822.0,169947.0
202046.0,155025.0,183910.0,170000.0
202073.0,155061.0,183974.0,170082.0
202170.0,155104.0,183983.0,170301.0
202480.0,155140.0,184320.0,170514.0
203128.0,155186.0,184603.0,170532.0
203146.0,155195.0,184612.0,170611.0
203225.0,155201.0,184694.0,170736.0
203234.0,155210.0,184773.0,170976.0
203289.0,155450.0,185332.0,171100.0
203386.0,155566.0,185730.0,171128.0
203720.0,155715.0,187505.0,171137.0
204024.0,155858.0,188146.0,171261.0
204185.0,156082.0,188182.0,171492.0
204194.0,156107.0,188340.0,171775.0
204608.0,156189.0,188465.0,172334.0
204635.0,156231.0,188517.0,172422.0
204909.0,156310.0,188687.0,172699.0
204936.0,156338.0,188696.0,172802.0
204981.0,156356.0,189228.0,172918.0
205027.0,156392.0,189422.0,172927.0
205054.0,156426.0,189459.0,173142.0
205179.0,156620.0,189556.0,173258.0
205391.0,156648.0,189574.0,173300.0
205957.0,156754.0,189592.0,173452.0
206093.0,156790.0,189653.0,173470.0
206321.0,156851.0,189857.0,173647.0
206525.0,156860.0,190114.0,173726.0
206622.0,156921.0,190248.0,173744.0
206835.0,157058.0,190716.0,173902.0
207458.0,157304.0,190761.0,173920.0
207625.0,157331.0,190770.0,174066.0
207962.0,157386.0,190974.0,174118.0
207971.0,157438.0,191205.0,174154.0
208123.0,157447.0,192192.0,174190.0
208479.0,157483.0,192439.0,174233.0
208822.0,157535.0,192448.0,174251.0
209056.0,157553.0,192864.0,174321.0
209065.0,157614.0,193016.0,174507.0
209241.0,157650.0,193186.0,174525.0
209612.0,157669.0,193201.0,174783.0
209825.0,157678.0,193353.0,174792.0
210076.0,157711.0,193399.0,174844.0
210331.0,157739.0,193645.0,174978.0
210401.0,157951.0,194091.0,175272.0
210669.0,158352.0,194161.0,175430.0
210739.0,158431.0,194259.0,175494.0
210784.0,158662.0,194310.0,175698.0
210890.0,158778.0,194392.0,175722.0
210906.0,158884.0,194611.0,176017.0
211088.0,159382.0,194967.0,176053.0
211291.0,159407.0,195243.0,176062.0
211440.0,159416.0,195845.0,176080.0
211617.0,159443.0,196477.0,176336.0
211909.0,159647.0,196592.0,176406.0
211981.0,159717.0,196653.0,176716.0
212045.0,159939.0,196857.0,176965.0
212054.0,159966.0,197045.0,176983.0
212106.0,159993.0,197081.0,176992.0
212197.0,160010.0,197142.0,177056.0
212568.0,160038.0,197230.0,177117.0
212601.0,160065.0,197285.0,177542.0
212656.0,160481.0,197832.0,177579.0
212832.0,160579.0,197911.0,177588.0
212975.0,160612.0,197984.0,177603.0
213233.0,160630.0,197993.0,177685.0
213312.0,160649.0,198066.0,177870.0
213321.0,160658.0,198075.0,177931.0
213330.0,160667.0,198118.0,177977.0
213367.0,161022.0,198136.0,178077.0
213400.0,161077.0,198215.0,178110.0
213507.0,161138.0,198303.0,178262.0
213570.0,161192.0,198598.0,178314.0
213826.0,161217.0,198756.0,178396.0
213996.0,161235.0,198808.0,178411.0
214023.0,161244.0,198835.0,178484.0
214069.0,161341.0,198862.0,178527.0
214148.0,161484.0,198871.0,178615.0
214157.0,161545.0,198899.0,178624.0
214254.0,161581.0,198969.0,178679.0
214591.0,161688.0,198978.0,178697.0
214689.0,161767.0,199032.0,178828.0
214713.0,161864.0,199209.0,179043.0
214777.0,162007.0,199272.0,179052.0
214892.0,162104.0,199306.0,179195.0
214971.0,162122.0,199315.0,179229.0
215008.0,162168.0,199412.0,179238.0
215026.0,162283.0,199582.0,179557.0
215053.0,162557.0,199643.0,179566.0
215099.0,162609.0,199698.0,179724.0
215105.0,162690.0,199865.0,179867.0
215132.0,162706.0,200013.0,179991.0
215293.0,162779.0,200156.0,180063.0
215381.0,163204.0,200484.0,180179.0
215415.0,163338.0,200785.0,180391.0
215433.0,163426.0,200800.0,180416.0
215637.0,163453.0,201016.0,180647.0
215646.0,163532.0,201061.0,180771.0
215682.0,163657.0,201399.0,180957.0
215743.0,164313.0,201441.0,180984.0
215770.0,164775.0,201469.0,181093.0
215929.0,165033.0,201609.0,181190.0
215947.0,165112.0,201627.0,181215.0
215974.0,165194.0,201803.0,181297.0
216047.0,165608.0,201885.0,181464.0
216074.0,165981.0,201964.0,181765.0
216278.0,166133.0,202134.0,181880.0
216339.0,166638.0,202435.0,181941.0
216427.0,166647.0,202514.0,182290.0
216436.0,166805.0,202684.0,182306.0
216524.0,166823.0,202736.0,182652.0
216579.0,166887.0,202763.0,182670.0
216597.0,166957.0,202806.0,182704.0
216667.0,167312.0,202912.0,182722.0
216764.0,167376.0,203085.0,182892.0
216807.0,167455.0,203313.0,183035.0
216852.0,167525.0,203517.0,184144.0
216931.0,167534.0,203580.0,184357.0
217013.0,167631.0,203739.0,184427.0
217059.0,167729.0,203757.0,184506.0
217165.0,167905.0,203845.0,184746.0
217235.0,168607.0,204060.0,184816.0
217305.0,168838.0,204176.0,185396.0
217402.0,168847.0,204264.0,185466.0
217493.0,168883.0,204307.0,185828.0
217518.0,169275.0,204316.0,186016.0
217536.0,169521.0,204468.0,186052.0
217572.0,169798.0,204592.0,186131.0
217961.0,169910.0,204617.0,186201.0
218043.0,169974.0,204626.0,186371.0
218973.0,169992.0,204662.0,186380.0
219198.0,170055.0,204680.0,186399.0
219505.0,170240.0,204705.0,186432.0
219709.0,170444.0,205203.0,186618.0
219903.0,170541.0,205443.0,186876.0
219976.0,170550.0,205513.0,187000.0
220118.0,170587.0,205531.0,187134.0
221157.0,170620.0,205559.0,187444.0
221351.0,170639.0,205568.0,188641.0
221519.0,170657.0,205610.0,188942.0
221795.0,170790.0,205647.0,188988.0
221971.0,170806.0,205708.0,189097.0
222178.0,170842.0,205726.0,189219.0
222673.0,171012.0,205887.0,189468.0
222707.0,171146.0,206048.0,189477.0
222886.0,171155.0,206084.0,189705.0
222983.0,171225.0,206224.0,189714.0
223232.0,171234.0,206279.0,189848.0
223463.0,171298.0,206330.0,189954.0
223658.0,171304.0,206394.0,190099.0
223667.0,171395.0,206482.0,190150.0
224271.0,171456.0,206491.0,190239.0
224323.0,171483.0,206507.0,190293.0
224660.0,171535.0,206604.0,190309.0
225779.0,171571.0,206631.0,190318.0
